"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","CET233","STRUCTURAL ANALYSIS IN CONST","102","11100","W","6:00 PM - 7:55 PM","GITC 2315C","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11100",""
"202610","CET233","STRUCTURAL ANALYSIS IN CONST","102","11100","W","8:05 PM - 10:00 PM","MALL PC36","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11100",""
"202610","CET314","BUILDING CONSTRUCTION","002","11101","M","11:30 AM - 1:25 PM","GITC 2302","Open","25","0","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11101",""
"202610","CET314","BUILDING CONSTRUCTION","002","11101","T","11:30 AM - 1:25 PM","GITC 2315C","Open","25","0","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11101",""
"202610","CET314","BUILDING CONSTRUCTION","102","11102","W","6:00 PM - 10:05 PM","GITC 2302","Open","25","0","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11102",""
"202610","CET331","STRUCTURAL SYSTEMS","102","11103","M","6:00 PM - 7:55 PM","MALL PC36","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11103",""
"202610","CET331","STRUCTURAL SYSTEMS","102","11103","M","8:05 PM - 10:00 PM","MALL PC36","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11103",""
"202610","CET340","LAND DEVELOPMENT","102","11104","T","6:00 PM - 7:55 PM","KUPF 104","Open","25","0","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11104",""
"202610","CET340","LAND DEVELOPMENT","102","11104","T","8:05 PM - 10:00 PM","GITC 2315C","Open","25","0","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11104",""
"202610","CET341","SOILS AND EARTHWORK","002","11105","R","1:00 PM - 2:55 PM","COLT 314","Open","20","0","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11105",""
"202610","CET341","SOILS AND EARTHWORK","002","11105","T","10:00 AM - 11:55 AM","CKB 206","Open","20","0","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11105",""
"202610","CET341","SOILS AND EARTHWORK","102","11106","R","6:00 PM - 7:55 PM","CKB 215","Open","20","0","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11106",""
"202610","CET341","SOILS AND EARTHWORK","102","11106","R","8:05 PM - 10:00 PM","COLT 314","Open","20","0","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11106",""
